SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-00,Oct-00,PC,Percentage,0,Units,,,8.25,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-00,Nov-00,PC,Percentage,0,Units,,,7.86,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-00,Dec-00,PC,Percentage,0,Units,,,7.18,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-01,Jan-01,PC,Percentage,0,Units,,,6.65,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-01,Feb-01,PC,Percentage,0,Units,,,6.41,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-01,Mar-01,PC,Percentage,0,Units,,,7,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-01,Apr-01,PC,Percentage,0,Units,,,7.74,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-01,May-01,PC,Percentage,0,Units,,,7.58,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-01,Jun-01,PC,Percentage,0,Units,,,7.14,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-01,Jul-01,PC,Percentage,0,Units,,,6.83,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-01,Aug-01,PC,Percentage,0,Units,,,6.29,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-01,Sep-01,PC,Percentage,0,Units,,,6.19,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-01,Oct-01,PC,Percentage,0,Units,,,6.54,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-01,Nov-01,PC,Percentage,0,Units,,,6.88,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-01,Dec-01,PC,Percentage,0,Units,,,7.01,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-02,Jan-02,PC,Percentage,0,Units,,,7.1,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-02,Feb-02,PC,Percentage,0,Units,,,7,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-02,Mar-02,PC,Percentage,0,Units,,,7.17,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-02,Apr-02,PC,Percentage,0,Units,,,7.3,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-02,May-02,PC,Percentage,0,Units,,,7.09,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-02,Jun-02,PC,Percentage,0,Units,,,6.76,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-02,Jul-02,PC,Percentage,0,Units,,,6.54,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-02,Aug-02,PC,Percentage,0,Units,,,6.24,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-02,Sep-02,PC,Percentage,0,Units,,,6.16,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-02,Oct-02,PC,Percentage,0,Units,,,6.11,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-02,Nov-02,PC,Percentage,0,Units,,,5.8,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-02,Dec-02,PC,Percentage,0,Units,,,5.77,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-03,Jan-03,PC,Percentage,0,Units,,,5.43,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-03,Feb-03,PC,Percentage,0,Units,,,5.15,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-03,Mar-03,PC,Percentage,0,Units,,,5.2,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-03,Apr-03,PC,Percentage,0,Units,,,5.03,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-03,May-03,PC,Percentage,0,Units,,,4.68,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-03,Jun-03,PC,Percentage,0,Units,,,4.46,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-03,Jul-03,PC,Percentage,0,Units,,,4.95,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-03,Aug-03,PC,Percentage,0,Units,,,5.26,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-03,Sep-03,PC,Percentage,0,Units,,,4.77,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-03,Oct-03,PC,Percentage,0,Units,,,4.87,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-03,Nov-03,PC,Percentage,0,Units,,,5.35,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-03,Dec-03,PC,Percentage,0,Units,,,5.43,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-04,Jan-04,PC,Percentage,0,Units,,,5.42,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-04,Feb-04,PC,Percentage,0,Units,,,5.43,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-04,Mar-04,PC,Percentage,0,Units,,,5.26,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-04,Apr-04,PC,Percentage,0,Units,,,5.25,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-04,May-04,PC,Percentage,0,Units,,,5.16,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-04,Jun-04,PC,Percentage,0,Units,,,5.01,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-04,Jul-04,PC,Percentage,0,Units,,,4.88,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-04,Aug-04,PC,Percentage,0,Units,,,4.33,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-04,Sep-04,PC,Percentage,0,Units,,,4.14,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-04,Oct-04,PC,Percentage,0,Units,,,4.05,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-04,Nov-04,PC,Percentage,0,Units,,,3.96,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-04,Dec-04,PC,Percentage,0,Units,,,3.85,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-05,Jan-05,PC,Percentage,0,Units,,,4.42,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-05,Feb-05,PC,Percentage,0,Units,,,4.88,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-05,Mar-05,PC,Percentage,0,Units,,,4.77,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-05,Apr-05,PC,Percentage,0,Units,,,4.69,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-05,May-05,PC,Percentage,0,Units,,,4.42,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-05,Jun-05,PC,Percentage,0,Units,,,4.46,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-05,Jul-05,PC,Percentage,0,Units,,,4.89,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-05,Aug-05,PC,Percentage,0,Units,,,5.08,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-05,Sep-05,PC,Percentage,0,Units,,,5.15,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-05,Oct-05,PC,Percentage,0,Units,,,5.36,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-05,Nov-05,PC,Percentage,0,Units,,,5.68,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-05,Dec-05,PC,Percentage,0,Units,,,5.6,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-06,Jan-06,PC,Percentage,0,Units,,,5.58,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-06,Feb-06,PC,Percentage,0,Units,,,5.28,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-06,Mar-06,PC,Percentage,0,Units,,,5.42,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-06,Apr-06,PC,Percentage,0,Units,,,5.45,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-06,May-06,PC,Percentage,0,Units,,,5.2,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-06,Jun-06,PC,Percentage,0,Units,,,5.25,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-06,Jul-06,PC,Percentage,0,Units,,,5.16,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-06,Aug-06,PC,Percentage,0,Units,,,4.94,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-06,Sep-06,PC,Percentage,0,Units,,,4.89,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-06,Oct-06,PC,Percentage,0,Units,,,4.79,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-06,Nov-06,PC,Percentage,0,Units,,,4.91,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-06,Dec-06,PC,Percentage,0,Units,,,4.95,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-07,Jan-07,PC,Percentage,0,Units,,,5.04,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-07,Feb-07,PC,Percentage,0,Units,,,5.01,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-07,Mar-07,PC,Percentage,0,Units,,,4.94,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-07,Apr-07,PC,Percentage,0,Units,,,5.07,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-07,May-07,PC,Percentage,0,Units,,,5.22,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-07,Jun-07,PC,Percentage,0,Units,,,5.48,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-07,Jul-07,PC,Percentage,0,Units,,,5.52,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-07,Aug-07,PC,Percentage,0,Units,,,5.42,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-07,Sep-07,PC,Percentage,0,Units,,,5.52,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-07,Oct-07,PC,Percentage,0,Units,,,5.56,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-07,Nov-07,PC,Percentage,0,Units,,,5.61,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-07,Dec-07,PC,Percentage,0,Units,,,5.82,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-08,Jan-08,PC,Percentage,0,Units,,,5.56,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-08,Feb-08,PC,Percentage,0,Units,,,5.28,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-08,Mar-08,PC,Percentage,0,Units,,,5.36,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-08,Apr-08,PC,Percentage,0,Units,,,5.17,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-08,May-08,PC,Percentage,0,Units,,,5.5,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-08,Jun-08,PC,Percentage,0,Units,,,5.89,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-08,Jul-08,PC,Percentage,0,Units,,,6.03,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-08,Aug-08,PC,Percentage,0,Units,,,5.91,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-08,Sep-08,PC,Percentage,0,Units,,,5.99,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-08,Oct-08,PC,Percentage,0,Units,,,5.53,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-08,Nov-08,PC,Percentage,0,Units,,,5.73,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-08,Dec-08,PC,Percentage,0,Units,,,4.87,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-09,Jan-09,PC,Percentage,0,Units,,,4.42,,
