date,KOSPI200,KOSPI,KOSPI200ex
2010-01-04,223.49 ,1696.14 ,1696.14 
2010-01-05,222.84 ,1690.62 ,1696.09 
2010-01-06,224.67 ,1705.32 ,1710.21 
2010-01-07,221.31 ,1683.45 ,1701.82 
2010-01-08,222.66 ,1695.26 ,1723.30 
2010-01-09,222.66 ,1695.26 ,1723.30 
2010-01-10,222.66 ,1695.26 ,1723.30 
2010-01-11,222.23 ,1694.12 ,1734.88 
2010-01-12,223.04 ,1698.64 ,1730.09 
2010-01-13,219.17 ,1671.41 ,1719.89 
2010-01-14,221.19 ,1685.77 ,1730.57 
2010-01-15,223.21 ,1701.80 ,1740.64 
2010-01-16,223.21 ,1701.80 ,1740.64 
2010-01-17,223.21 ,1701.80 ,1740.64 
2010-01-18,224.38 ,1711.78 ,1746.89 
2010-01-19,224.13 ,1710.22 ,1734.33 
2010-01-20,224.83 ,1714.38 ,1733.59 
2010-01-21,226.16 ,1722.01 ,1730.47 
2010-01-22,220.68 ,1684.35 ,1713.57 
2010-01-23,220.68 ,1684.35 ,1713.57 
2010-01-24,220.68 ,1684.35 ,1713.57 
2010-01-25,219.33 ,1670.20 ,1691.16 
2010-01-26,214.89 ,1637.34 ,1663.94 
2010-01-27,213.02 ,1625.48 ,1654.49 
2010-01-28,215.67 ,1642.43 ,1664.35 
2010-01-29,210.34 ,1602.43 ,1622.45 
2010-01-30,210.34 ,1602.43 ,1622.45 
2010-01-31,210.34 ,1602.43 ,1622.45 
2010-02-01,210.76 ,1606.44 ,1632.35 
2010-02-02,209.27 ,1595.81 ,1631.27 
2010-02-03,211.86 ,1615.02 ,1642.02 
2010-02-04,211.72 ,1616.42 ,1648.95 
2010-02-05,205.06 ,1567.12 ,1599.75 
2010-02-06,205.06 ,1567.12 ,1599.75 
2010-02-07,205.06 ,1567.12 ,1599.75 
2010-02-08,203.37 ,1552.79 ,1580.49 
2010-02-09,206.01 ,1570.49 ,1588.52 
2010-02-10,205.94 ,1570.12 ,1590.41 
2010-02-11,209.73 ,1597.81 ,1606.92 
2010-02-12,208.74 ,1593.66 ,1620.94 
2010-02-13,208.74 ,1593.66 ,1620.94 
2010-02-14,208.74 ,1593.66 ,1620.94 
2010-02-15,208.74 ,1593.66 ,1620.94 
2010-02-16,209.73 ,1601.05 ,1628.53 
2010-02-17,213.44 ,1627.43 ,1646.81 
2010-02-18,212.55 ,1621.19 ,1644.67 
2010-02-19,208.70 ,1593.90 ,1629.07 
2010-02-20,208.70 ,1593.90 ,1629.07 
2010-02-21,208.70 ,1593.90 ,1629.07 
2010-02-22,213.28 ,1627.10 ,1652.64 
2010-02-23,213.45 ,1628.90 ,1657.11 
2010-02-24,210.92 ,1612.83 ,1656.65 
2010-02-25,207.56 ,1587.51 ,1634.73 
2010-02-26,208.36 ,1594.58 ,1649.07 
2010-02-27,208.36 ,1594.58 ,1649.07 
2010-02-28,208.36 ,1594.58 ,1649.07 
2010-03-01,208.36 ,1594.58 ,1649.07 
2010-03-02,211.44 ,1615.12 ,1654.68 
2010-03-03,212.36 ,1622.44 ,1657.12 
2010-03-04,211.91 ,1618.20 ,1655.33 
2010-03-05,214.05 ,1634.57 ,1672.49 
2010-03-06,214.05 ,1634.57 ,1672.49 
2010-03-07,214.05 ,1634.57 ,1672.49 
2010-03-08,217.73 ,1660.04 ,1687.51 
2010-03-09,217.82 ,1660.83 ,1691.15 
2010-03-10,217.82 ,1662.24 ,1689.65 
2010-03-11,216.76 ,1656.62 ,1692.01 
2010-03-12,217.35 ,1662.74 ,1698.55 
2010-03-13,217.35 ,1662.74 ,1698.55 
2010-03-14,217.35 ,1662.74 ,1698.55 
